,KIE,PJP,XBI,XLV,KIE_vol,PJP_vol,XBI_vol,XLV_vol,cpi,unemployment,interest_rate,trends_flu_symptoms,trends_fever,trends_shortness_of_breath,wili,ili,num_ili,num_patients,nchs_deaths
2012-04-08,10.740323066711426,25.72052574157715,25.8880615234375,29.61575698852539,0.006033494698888315,0.005301019981050713,0.01465240227874757,0.0035939880094447802,229.187,8.2,0.14,6,64,3,1.53136,1.49637,10732,717202,8839734.0
2012-04-15,10.493006706237793,24.909591674804688,23.94083595275879,28.881492614746094,0.01599515744983538,0.011162857536605026,0.021521842684750336,0.008750424353424826,229.187,8.2,0.14,5,64,3,1.37912,1.38202,10123,732480,8839734.0
2012-04-22,10.596057891845703,25.49117660522461,25.301000595092773,29.442058563232422,0.009485529926756735,0.008041942582741253,0.020522686418168064,0.006700920100706699,229.187,8.2,0.14,5,59,3,1.29515,1.28926,9370,726772,8839734.0
2012-04-29,10.879441261291504,26.26114845275879,26.346797943115234,29.631561279296875,0.007761817609135022,0.008243091700548863,0.01019434356832529,0.006606071755049036,229.187,8.2,0.14,5,59,3,1.39521,1.35803,8999,662649,8839734.0
2012-05-06,10.675920486450195,25.55669593811035,25.27855110168457,29.17361831665039,0.006662387764297292,0.005813202146696354,0.013428755809305934,0.006256803189468904,228.713,8.2,0.16,4,58,3,1.32522,1.30833,8576,655492,8839734.0
2012-05-13,10.678494453430176,25.74510383605957,26.491159439086914,29.22098731994629,0.004468678648121985,0.007877855442423677,0.012105886174924994,0.0050211587038944735,228.713,8.2,0.16,5,60,3,1.23059,1.26692,8062,636347,8839734.0
2012-05-20,10.021559715270996,24.966934204101562,25.243267059326172,28.478824615478516,0.0048270329845832355,0.006838230554676854,0.01588582133136676,0.004503254734929746,228.713,8.2,0.16,4,62,3,1.23028,1.27731,7878,616765,8839734.0
2012-05-27,10.227654457092285,25.458398818969727,26.378875732421875,28.755163192749023,0.005332639507802806,0.007781635646742672,0.014742689568216786,0.007080187795756499,228.713,8.2,0.16,4,60,3,1.26877,1.2991,7153,550614,8839734.0
2012-06-03,9.957152366638184,24.721200942993164,25.11815643310547,28.03668212890625,0.015865218046742686,0.01095863692671121,0.01191281264703793,0.008712059819341783,228.524,8.2,0.16,4,59,3,1.10782,1.16297,6765,581700,8839734.0
2012-06-10,10.30236530303955,25.564889907836914,26.208852767944336,28.889381408691406,0.012942906150679435,0.006050483033672817,0.012802336094736824,0.005801945543870714,228.524,8.2,0.16,4,59,3,1.09559,1.08612,6133,564670,8839734.0
2012-06-17,10.308691024780273,26.044008255004883,26.82798957824707,29.418174743652344,0.011128490610642796,0.010546432968806101,0.01829498809544848,0.009172719542330137,228.524,8.2,0.16,3,55,3,1.11031,1.0568,6048,572296,8839734.0
2012-06-24,10.241432189941406,26.561607360839844,28.07587432861328,29.703947067260742,0.013548373222133715,0.012151679605899144,0.0045231014004364,0.010248051216761,228.524,8.2,0.16,3,53,3,1.10616,1.07871,5786,536380,8839734.0
2012-07-01,10.531164169311523,27.243507385253906,28.380624771118164,30.17228889465332,0.015499106039001675,0.011743898969406695,0.02339105373783263,0.012291298658375947,228.59,8.2,0.16,3,51,3,1.10816,1.04662,5291,505533,8839734.0
2012-07-08,10.510467529296875,27.2763729095459,29.59322738647461,29.87065315246582,0.009182561001258794,0.00677048542972793,0.02088189457836622,0.004778401115415565,228.59,8.2,0.16,3,55,3,0.999444,0.928152,5185,558637,8839734.0
2012-07-15,10.484599113464355,27.3585205078125,29.266014099121094,30.267547607421875,0.010641103027433882,0.012055775789307869,0.012602047267034669,0.006021218521831293,228.59,8.2,0.16,3,52,3,0.924199,0.901936,4931,546713,8839734.0
2012-07-22,10.28282356262207,27.654296875,29.394329071044922,30.36279296875,0.009049664606975675,0.011299505663546571,0.00973441618919841,0.00915051040160795,228.59,8.2,0.16,3,51,3,0.949257,0.915356,5103,557488,8839734.0
2012-07-29,10.365605354309082,28.147245407104492,30.029502868652344,30.82320785522461,0.011976214002431398,0.014467260745940553,0.017734118085538382,0.014967002749320158,228.59,8.2,0.16,3,51,3,0.978903,0.952548,5159,541600,8839734.0
2012-08-05,10.440624237060547,27.539281845092773,27.61393165588379,30.553308486938477,0.009717820598687529,0.0080295108559321,0.01467562571892831,0.008400823602883514,229.918,8.1,0.13,4,52,3,0.925024,0.916661,5026,548294,8839734.0
2012-08-12,10.629467010498047,27.38319206237793,27.35729217529297,30.712080001831055,0.002780414825453006,0.006810576805269145,0.0072804706119467405,0.0027776169733356774,229.918,8.1,0.13,4,53,3,0.848456,0.901787,5051,560110,8839734.0
2012-08-19,10.80795955657959,27.2763729095459,27.787153244018555,30.545377731323242,0.0034905456979273607,0.0034426233358042504,0.010469057321405963,0.0034062026834404666,229.918,8.1,0.13,5,55,4,1.04451,1.03315,6141,594395,8839734.0
2012-08-26,10.784674644470215,27.42426109313965,28.367799758911133,30.751766204833984,0.005926704156617725,0.006840875429046312,0.006457932524104734,0.004531723275490465,229.918,8.1,0.13,5,55,3,1.0986,1.05238,6318,600354,8839734.0
2012-09-02,10.787263870239258,27.50641441345215,28.399877548217773,30.83115005493164,0.003943169704698129,0.002249080114107593,0.004948532331509884,0.0029228925234012484,231.015,7.8,0.14,5,57,3,1.22071,1.12713,6296,558585,8839734.0
2012-09-09,11.051127433776855,28.34442901611328,29.381494522094727,31.378862380981445,0.006580856094172766,0.011940973940155628,0.015088876814290698,0.0076747125759356345,231.015,7.8,0.14,6,55,3,1.24976,1.1866,7382,622114,8839734.0
